ID,exp,gbgr.perceptual.rating,gbgr.causal.rating,gbrg.perceptual.rating,gbrg.causal.rating,grbg.perceptual.rating,grbg.causal.rating,grgb.perceptual.rating,grgb.causal.rating,q.type,group
0,0,30,100,30,30,30,30,70,25,1,1
1,0,75,90,85,90,75,90,60,90,1,1
2,0,95,5,95,3,95,3,95,3,1,1
3,0,90,100,70,100,70,100,80,100,1,1
4,0,80,30,80,30,80,80,30,80,1,1
5,0,70,100,65,100,55,100,70,100,1,1
6,0,70,100,30,100,20,100,50,100,1,1
7,0,50,90,25,90,25,90,50,90,1,1
8,0,75,100,50,100,25,100,75,100,1,1
9,0,80,60,80,60,80,20,80,30,1,1
10,0,90,100,80,100,80,90,9,100,1,1
11,0,75,75,60,75,75,75,75,75,1,1
12,0,45,80,45,80,30,80,50,90,1,1
13,0,93,97,90,95,85,90,91,94,1,1
14,0,75,80,75,80,75,80,95,95,1,1
15,0,80,100,80,100,80,100,80,100,1,0
16,0,80,85,50,75,50,80,85,90,0,0
17,0,90,100,80,90,80,90,90,100,0,0
18,0,80,100,50,100,50,100,80,100,0,0
19,0,80,80,60,80,60,80,80,60,0,0
20,0,85,75,75,74,80,77,90,90,0,0
21,0,80,85,90,50,90,50,70,80,0,0
22,0,80,80,20,20,20,20,100,100,0,0
23,0,40,70,60,50,70,50,70,80,0,1
24,0,60,80,80,80,80,80,80,80,1,1
25,0,100,100,100,100,100,98,97,100,1,1
26,0,70,85,55,85,60,85,50,85,1,1
27,0,100,100,70,90,70,100,100,100,1,1
28,0,100,100,65,90,65,50,50,100,1,1
29,0,20,60,30,70,30,70,50,80,1,1
30,0,35,72,35,75,28,75,30,70,1,1
31,0,99,90,70,85,75,89,90,99,1,1
32,0,50,50,20,40,30,50,75,75,1,1
33,0,50,100,50,100,50,100,100,100,1,1
34,0,85,100,75,100,75,100,80,100,1,1
35,0,50,100,80,100,80,100,50,100,1,1
36,0,78,90,40,85,64,90,100,100,1,1
37,0,80,95,85,95,70,90,75,90,1,1
38,0,76,86,72,86,85,86,92,86,1,1
39,0,20,90,10,90,50,91,50,92,0,0
40,0,80,95,50,95,50,95,40,95,0,0
41,0,10,100,10,100,25,100,50,100,0,0
42,0,100,50,100,25,100,50,100,50,0,0
43,0,80,100,80,100,80,100,80,100,0,0
44,0,60,95,43,95,65,95,80,95,0,0
45,0,75,90,65,95,75,90,95,97,0,0
46,0,82,84,89,90,55,70,80,85,0,0
47,1,90,100,90,100,90,100,90,100,0,0
48,1,75,25,65,25,65,25,75,25,0,0
49,1,100,100,0,100,0,100,50,100,0,0
50,0,80,50,25,75,75,100,50,75,0,0
51,0,50,60,80,70,90,80,80,75,0,0
52,0,70,100,80,100,90,100,80,100,0,0
53,0,85,90,75,85,75,85,85,90,0,0
54,0,70,40,85,95,80,90,70,90,0,0
55,0,90,35,80,25,80,30,95,45,0,0
56,0,100,0,100,25,100,50,100,75,0,0
57,0,80,25,80,67,80,67,70,20,0,0
58,1,95,70,90,10,90,10,100,100,0,0
59,1,70,100,90,100,90,100,70,100,0,0
60,1,85,90,90,90,80,90,95,90,0,0
61,1,75,90,70,90,68,90,65,90,0,0
62,0,70,85,70,85,70,85,80,85,1,1
63,0,60,70,30,20,20,10,50,40,0,0
