ID,exp,gbgr.perceptual.rating,gbgr.causal.rating,gbrg.perceptual.rating,gbrg.causal.rating,gbgapgr.perceptual.rating,gbgapgr.causal.rating,gbgaprg.perceptual.rating,gbgaprg.causal.rating,q.type,group,
1,0,80,85,50,80,45,60,35,70,1,1,
2,0,90,100,80,100,40,40,60,40,1,1,
3,0,90,95,90,95,80,70,75,60,1,0,
4,0,100,100,90,90,90,60,90,50,1,0,
5,0,75,75,67,70,65,25,40,10,1,0,
6,0,50,50,75,100,1,0,0,0,1,0,
7,0,0,100,33,100,75,60,50,66,1,0,
8,1,100,85,100,75,70,60,70,60,1,0,
9,1,100,0,100,0,80,0,80,0,0,0,
10,1,90,70,90,80,70,70,70,80,1,0,
11,1,95,70,95,70,70,70,50,70,0,0,
12,1,90,100,90,100,70,50,70,50,1,0,
13,1,80,90,80,90,80,60,80,60,1,0,
14,1,75,25,75,100,50,25,50,100,1,0,
15,0,50,100,10,20,5,20,0,5,1,0,
16,0,25,75,10,75,15,60,10,60,1,0,
17,1,50,100,50,100,40,66,30,60,1,0,
18,1,85,60,60,90,40,30,40,30,1,0,
19,0,100,100,70,80,40,50,60,70,1,1,
20,0,90,90,80,90,70,40,60,50,1,1,
21,0,80,100,80,100,60,50,80,60,1,1,
22,0,75,100,85,100,60,70,80,70,1,1,
23,0,0,100,50,100,0,25,50,50,1,1,
24,1,100,100,100,100,25,50,25,100,1,1,
25,1,80,90,80,85,50,80,50,70,1,1,
26,1,100,60,80,60,50,50,50,40,1,1,
27,0,100,83,100,82,52,67,52,68,1,1,
28,0,50,90,50,90,40,40,50,65,1,1,
29,0,40,80,65,80,40,40,60,40,1,1,
30,1,100,100,100,95,75,90,75,95,1,0,
31,1,85,100,75,100,75,25,75,25,1,0,
32,1,100,90,100,75,75,60,75,80,1,0,
33,1,100,100,90,90,80,100,60,80,1,0,
34,0,100,100,100,100,20,20,20,20,1,1,
35,0,100,90,100,90,10,90,10,90,1,1,
36,0,60,80,60,70,50,60,50,60,1,1,
37,0,85,90,85,90,80,85,80,80,1,1,
38,0,80,90,75,90,50,50,40,50,1,1,
39,0,80,100,75,85,45,50,50,80,1,1,
40,0,75,100,50,100,60,75,45,75,1,1,
41,0,40,80,30,80,40,55,30,55,1,1,
42,0,100,90,100,90,75,20,75,20,1,1,
43,0,50,100,90,96,50,85,90,85,1,1,
44,0,60,85,60,85,30,10,30,10,1,1,
45,0,70,100,70,100,30,33,25,33,1,1,
46,1,20,60,100,80,20,45,40,65,1,0,
47,1,80,100,80,100,80,60,80,60,1,0,
48,1,90,75,95,85,30,40,40,65,1,0,
49,1,100,90,100,50,60,80,60,80,1,0,
50,1,90,70,90,80,55,45,55,60,1,0,
51,1,80,80,100,100,20,50,20,50,1,0,
52,1,100,0,100,50,75,0,75,100,1,0,
53,1,90,40,95,60,50,40,50,60,1,0,
54,0,90,90,100,100,65,65,60,60,1,0,
55,0,75,75,60,75,10,60,10,60,1,0,
56,0,95,100,95,100,66,66,55,66,1,0,
57,1,80,80,90,90,20,30,60,60,1,0,
58,1,100,100,100,100,80,80,80,80,1,0,
59,0,75,60,80,100,60,75,80,50,1,0,
60,1,90,70,100,70,60,90,60,50,1,0,
61,0,60,60,60,60,50,50,50,50,1,0,
62,0,50,90,10,90,10,50,50,50,1,0,
63,0,100,100,100,100,30,30,30,90,1,0,
64,0,80,80,90,90,70,10,50,10,1,0,
